,city,number,update_time
226,bj, 40793 ,2018-06-18
227,sz, 24947 ,2018-06-18
228,sh, 73746 ,2018-06-18
229,hz, 11397 ,2018-06-18
230,gz, 21496 ,2018-06-18
231,cd, 43338 ,2018-06-19
232,cq, 12868 ,2018-06-19
233,bj, 40526 ,2018-06-19
234,sz, 24482 ,2018-06-19
235,sh, 73509 ,2018-06-19
236,hz, 11312 ,2018-06-19
237,gz, 21537 ,2018-06-19
238,cd, 43571 ,2018-06-20
239,cq, 12964 ,2018-06-20
240,bj, 40494 ,2018-06-20
241,sz, 24501 ,2018-06-20
242,sh, 73690 ,2018-06-20
243,hz, 11368 ,2018-06-20
244,gz, 21590 ,2018-06-20
245,cd, 32055 ,2018-06-21
246,cq, 13069 ,2018-06-21
247,bj, 40692 ,2018-06-21
248,sz, 24785 ,2018-06-21
249,sh, 73676 ,2018-06-21
250,hz, 11426 ,2018-06-21
251,gz, 21687 ,2018-06-21
252,cd, 33128 ,2018-06-22
253,cq, 13360 ,2018-06-22
254,bj, 40927 ,2018-06-22
255,sz, 24879 ,2018-06-22
256,sh, 73433 ,2018-06-22
257,hz, 11532 ,2018-06-22
258,gz, 21796 ,2018-06-22
259,cd, 34218 ,2018-06-23
260,cq, 13699 ,2018-06-23
261,bj, 41263 ,2018-06-23
262,sz, 25005 ,2018-06-23
263,sh, 73243 ,2018-06-23
264,hz, 11677 ,2018-06-23
265,gz, 21855 ,2018-06-23
266,cd, 34840 ,2018-06-24
267,cq, 13896 ,2018-06-24
268,bj, 41252 ,2018-06-24
269,sz, 25066 ,2018-06-24
270,sh, 73401 ,2018-06-24
271,hz, 11713 ,2018-06-24
272,gz, 21908 ,2018-06-24
273,cd, 35207 ,2018-06-25
274,cq, 14106 ,2018-06-25
275,bj, 41147 ,2018-06-25
276,sz, 24772 ,2018-06-25
277,sh, 73423 ,2018-06-25
278,hz, 11606 ,2018-06-25
279,gz, 21904 ,2018-06-25
280,cd, 35351 ,2018-06-26
281,cq, 14283 ,2018-06-26
282,bj, 41171 ,2018-06-26
283,sz, 24708 ,2018-06-26
284,sh, 73333 ,2018-06-26
285,hz, 11659 ,2018-06-26
286,gz, 21369 ,2018-06-26
287,cd, 35664 ,2018-06-27
288,cq, 14401 ,2018-06-27
289,bj, 41209 ,2018-06-27
290,sz, 24880 ,2018-06-27
291,sh, 73213 ,2018-06-27
292,hz, 11707 ,2018-06-27
293,gz, 21336 ,2018-06-27
294,cd, 36149 ,2018-06-28
295,cq, 14649 ,2018-06-28
